,id,time,velocity,pile,acceleration,roadsection,distance,remain
30,4,13,21.147945778105466,41.51268211140495,0.7832094448059799,C1,41.51268211140495,108.48731788859504
34,4,14,21.89700966184592,63.40969177325086,0.7490638837404546,C1,63.40969177325086,86.59030822674913
39,4,15,22.656289582397847,86.06598135564872,0.7592799205519256,C1,86.06598135564872,63.93401864435128
44,4,16,23.452308403939067,109.51828975958779,0.7960188215412209,C1,109.51828975958779,40.48171024041221
49,4,17,24.187337764982193,133.70562752457,0.7350293610431251,C1,133.70562752457,16.29437247543001
55,4,18,24.953276679400414,158.6589042039704,0.7659389144182214,B2,8.658904203970394,91.3410957960296
61,4,19,25.71400270754105,184.37290691151145,0.7607260281406347,B2,34.37290691151145,65.62709308848855
67,4,20,26.4626818191596,210.83558873067105,0.74867911161855,B2,60.83558873067105,39.16441126932895
74,4,21,27.205956648603145,238.0415453792742,0.7432748294435463,B2,88.0415453792742,11.958454620725803
81,4,22,28.003634696245257,266.04518007551945,0.7976780476421119,A3,16.045180075519454,283.95481992448055
89,4,23,28.773916388802295,294.8190964643217,0.7702816925570382,A3,44.81909646432172,255.18090353567828
97,4,24,29.5173068996296,324.3364033639513,0.7433905108273038,A3,74.33640336395132,225.66359663604868
105,4,25,30.261555798348105,354.59795916229945,0.7442488987185065,A3,104.59795916229945,195.40204083770055
114,4,26,31.000149437855995,385.59810860015546,0.73859363950789,A3,135.59810860015546,164.40189139984454
124,4,27,31.688080008413703,417.28618860856915,0.6879305705577075,A3,167.28618860856915,132.71381139143085
134,4,28,32.457877573335644,449.7440661819048,0.7697975649219408,A3,199.74406618190483,100.25593381809517
144,4,29,33.121891795504006,482.8659579774088,0.6640142221683618,A3,232.8659579774088,67.13404202259119
154,4,30,33.26650160835311,516.1324595857619,0.14460981284910446,A3,266.1324595857619,33.86754041423808
165,4,31,33.25358764725923,549.3860472330211,-0.012913961093879323,A3,299.38604723302115,0.6139527669788549
175,4,32,33.32518008151278,582.711227314534,0.07159243425354589,B4,32.71122731453397,67.28877268546603
186,4,33,33.33105444803089,616.0422817625648,0.005874366518114016,B4,66.04228176256481,33.95771823743519
198,4,34,33.25630736080184,649.2985891233666,-0.07474708722904921,B4,99.29858912336658,0.7014108766334175
210,4,35,33.281706605434415,682.580295728801,0.025399244632573925,C5,32.58029572880105,117.41970427119895
223,4,36,33.30025871147588,715.8805544402769,0.018552106041461514,C5,65.88055444027691,84.11944555972309
236,4,37,33.33187731807306,749.2124317583499,0.03161860659718485,C5,99.21243175834991,50.78756824165009
249,4,38,33.253818149223925,782.4662499075739,-0.078059168849137,C5,132.4662499075739,17.53375009242609
35,5,14,18.365602,0.0,0.0,C1,0.0,150.0
40,5,15,19.1644074074347,19.1644074074347,0.7988054074347026,C1,19.1644074074347,130.8355925925653
45,5,16,19.8925240437482,39.0569314511829,0.7281166363134979,C1,39.0569314511829,110.94306854881711
50,5,17,20.677728343082638,59.73465979426553,0.7852042993344384,C1,59.73465979426553,90.26534020573447
56,5,18,21.461137229817034,81.19579702408257,0.7834088867343958,C1,81.19579702408257,68.80420297591743
62,5,19,22.202056854961487,103.39785387904405,0.7409196251444534,C1,103.39785387904405,46.60214612095595
68,5,20,22.974935896767352,126.37278977581141,0.7728790418058651,C1,126.37278977581141,23.627210224188588
75,5,21,23.76795851215539,150.1407482879668,0.7930226153880362,B2,0.14074828796680094,99.8592517120332
82,5,22,24.54799550892604,174.68874379689285,0.7800369967706509,B2,24.68874379689285,75.31125620310715
90,5,23,25.29562205750314,199.984365854396,0.7476265485771023,B2,49.984365854396,50.015634145604
98,5,24,26.046010242922286,226.03037609731828,0.7503881854191441,B2,76.03037609731828,23.969623902681718
106,5,25,26.824596866404693,252.85497296372296,0.7785866234824077,A3,2.8549729637229575,297.14502703627704
115,5,26,27.592652274591906,280.44762523831486,0.7680554081872124,A3,30.447625238314856,269.55237476168514
125,5,27,28.323564898984564,308.7711901372994,0.7309126243926585,A3,58.77119013729941,241.2288098627006
135,5,28,29.10862601410417,337.8798161514036,0.785061115119607,A3,87.87981615140359,212.1201838485964
145,5,29,29.859186020268186,367.73900217167176,0.7505600061640152,A3,117.73900217167176,182.26099782832824
155,5,30,30.639447415469274,398.37844958714106,0.7802613952010873,A3,148.37844958714106,151.62155041285894
166,5,31,31.435736992897525,429.81418658003855,0.7962895774282508,A3,179.81418658003855,120.18581341996145
176,5,32,32.213237307721805,462.0274238877604,0.7775003148242803,A3,212.0274238877604,87.97257611223961
187,5,33,32.95450421510083,494.98192810286116,0.7412669073790283,A3,244.98192810286116,55.01807189713884
199,5,34,33.28399486306309,528.2659229659243,0.3294906479622597,A3,278.26592296592435,21.734077034075654
211,5,35,33.26824663109332,561.5341695970176,-0.015748231969773485,B4,11.53416959701758,88.46583040298242
224,5,36,33.25660575115308,594.7907753481707,-0.01164087994023788,B4,44.790775348170655,55.209224651829345
237,5,37,33.27135532337427,628.062130671545,0.014749572221191443,B4,78.06213067154499,21.937869328455008
250,5,38,33.297529434163124,661.359660105708,0.026174110788851124,C5,11.35966010570803,138.64033989429197
262,5,39,33.27626586449519,694.6359259702032,-0.021263569667937077,C5,44.635925970203175,105.36407402979683
275,5,40,33.3267399348244,727.9626659050276,0.05047407032921569,C5,77.96266590502762,72.03733409497238
288,5,41,33.3327585365735,761.2954244416011,0.006018601749097741,C5,111.29542444160109,38.704575558398915
